,GDP_Growth_pct,Inflation_pct,Unemployment_pct,Public_debt_pct_GDP
GDP_Growth_pct,1.0,0.22896459397958782,-0.23501782573639815,-0.11466942914322516
Inflation_pct,0.22896459397958782,1.0,-0.08764562243432954,-0.2435405340167129
Unemployment_pct,-0.23501782573639815,-0.08764562243432954,1.0,-0.46664373046757884
Public_debt_pct_GDP,-0.11466942914322516,-0.2435405340167129,-0.46664373046757884,1.0
