indicator_name,region_group,mean,median,std,min,max
GDP_Growth_pct,Afrique,4.036191193203238,4.31023852639633,3.0290641381531644,-6.1689177146757,14.0471235803149
GDP_Growth_pct,Europe,1.3099817121901456,1.63614170690956,3.0274115567085786,-10.9400706350371,8.93106210800055
GDP_USD,Afrique,99145888951.02022,45405615063.7551,127164247398.01051,4982850662.20851,458199494830.834
GDP_USD,Europe,2388425796102.187,2380825077243.59,893502115658.0597,598102854756.08,4685592577804.69
GDP_per_capita_USD,Afrique,2340.5915649309677,1574.0281059306,2045.3553538707608,253.746936203344,8646.05571071635
GDP_per_capita_USD,Europe,36781.77295497366,36980.3349948954,8739.477654405306,14743.2671031455,56103.7323182554
Inflation_pct,Afrique,7.228392752345488,5.33895913599828,7.8244334307982655,-2.2480214785534,41.509496287803
Inflation_pct,Europe,2.0968090276775966,1.85081508315502,1.655411884002479,-0.500365709903242,8.39057634118627
Public_debt_pct_GDP,Afrique,63.14407851567519,61.845794774439796,13.043478409412517,39.6390583837328,79.446907709916
Public_debt_pct_GDP,Europe,103.19252220962159,104.927837458817,42.19242434310166,31.7331273427183,194.682828796265
Unemployment_pct,Afrique,8.457775999999999,4.284,9.01253676191688,1.896,34.007
Unemployment_pct,Europe,9.006512,8.359,4.526286916653757,3.068,26.094
