iso3,country,region_group,year,GDP_Growth_pct,GDP_USD,GDP_per_capita_USD,Inflation_pct,Public_debt_pct_GDP,Unemployment_pct
CIV,Cote d'Ivoire,Afrique,2000,-0.265789462275947,16577533891.8785,936.636541348798,2.53077516737997,,4.816
CIV,Cote d'Ivoire,Afrique,2001,-2.15401249077306,16810537043.8407,924.727294962066,4.36152914007256,,5.167
CIV,Cote d'Ivoire,Afrique,2002,-2.73052647441901,18054383320.8474,967.815864415991,3.07726485157427,,5.474
CIV,Cote d'Ivoire,Afrique,2003,-4.72586658630681,21251754340.4305,1111.17135087887,3.29680746974208,,5.805
CIV,Cote d'Ivoire,Afrique,2004,3.18503822575397,23510575681.3686,1199.82524528546,1.45798835600741,,5.883
CIV,Cote d'Ivoire,Afrique,2005,0.996065564854788,24036918703.1747,1197.74616979415,3.88583039886482,,5.999
CIV,Cote d'Ivoire,Afrique,2006,2.81557859252327,25281413263.3712,1230.43056838584,2.46719148596915,,6.009
CIV,Cote d'Ivoire,Afrique,2007,1.10142976793477,28760090953.3081,1367.53817722326,1.89200629349598,,6.272
CIV,Cote d'Ivoire,Afrique,2008,4.7826659787672,34078240293.2559,1583.97066701372,6.30852769152578,,6.379
CIV,Cote d'Ivoire,Afrique,2009,3.60332156667053,33886813250.2036,1540.45393569596,1.01950457731138,,6.571
CIV,Cote d'Ivoire,Afrique,2010,6.84804939907013,34936307980.063,1553.54887048143,1.2264561213548,,6.618
CIV,Cote d'Ivoire,Afrique,2011,-5.37044724000579,36693710801.3976,1596.62826565998,4.9124339505245,,7.135
CIV,Cote d'Ivoire,Afrique,2012,7.62041176451649,36302302877.2977,1546.9460184731,1.30451119915606,,7.223
CIV,Cote d'Ivoire,Afrique,2013,10.7602131311256,42760235484.6093,1786.15862031324,2.58117037252936,,4.255
CIV,Cote d'Ivoire,Afrique,2014,9.37199994240375,48843005613.7091,1991.36539423404,0.448682076766141,,3.285
CIV,Cote d'Ivoire,Afrique,2015,7.19494942728191,45815005169.2651,1814.71855088017,1.25149954781468,,2.579
CIV,Cote d'Ivoire,Afrique,2016,7.17275963956332,48407761036.8238,1862.59597081287,0.723178457513308,,1.896
CIV,Cote d'Ivoire,Afrique,2017,7.41076242592504,52512343996.69,1964.29930338343,0.685881065304603,,3.272
CIV,Cote d'Ivoire,Afrique,2018,4.84314605889178,58522477786.6889,2130.86619381144,0.401297817263547,,2.85
CIV,Cote d'Ivoire,Afrique,2019,6.72137167584978,60382894697.3557,2141.76836170115,0.790855512053661,,2.401
CIV,Cote d'Ivoire,Afrique,2020,0.699728593494228,63027852805.4204,2179.72934832935,2.41252617189053,,2.584
CIV,Cote d'Ivoire,Afrique,2021,7.06332910205232,72794636653.7793,2455.98127641148,4.15919657911798,,2.63
CIV,Cote d'Ivoire,Afrique,2022,6.39988362720531,70922824813.9102,2333.37128301259,5.23352856100843,,2.306
CIV,Cote d'Ivoire,Afrique,2023,6.60000045223954,80780312569.1646,2591.9659048119,4.36972254867474,,2.27
CIV,Cote d'Ivoire,Afrique,2024,6.01953461940062,87113179149.284,2727.8935220697,3.45053028131019,,2.288
DEU,Germany,Europe,2000,2.8765231247659,1966980701145.1,23925.8559901991,1.44026838719741,,7.917
DEU,Germany,Europe,2001,1.63614170690956,1966381496641.73,23878.3641471651,1.98385731334471,,7.773
DEU,Germany,Europe,2002,-0.228255715793637,2102350798305.89,25486.5942008748,1.42080615551526,,8.482
DEU,Germany,Europe,2003,-0.529801394291297,2534715518349.01,30711.1022511331,1.03422218628562,,9.779
DEU,Germany,Europe,2004,1.16208684507278,2852317768061.78,34566.7359143735,1.66573696655992,,10.727
DEU,Germany,Europe,2005,0.885485292551564,2893393187361.87,35084.4363546269,1.54691114751328,,11.193
DEU,Germany,Europe,2006,3.86668241523209,3046308753670.58,36980.3349948954,1.57742642840563,,10.277
DEU,Germany,Europe,2007,2.8891174138025,3484056680854.91,42350.9217211489,2.29834400700951,,8.732
DEU,Germany,Europe,2008,0.887902330743628,3808197720125.0,46379.1647953479,2.62837981637219,,7.508
DEU,Germany,Europe,2009,-5.54455451920674,3478545516683.59,42471.8868625226,0.312739007368447,,7.88
DEU,Germany,Europe,2010,4.13463778522758,3467093769666.67,42396.9665976293,1.1038103778926,,7.043
DEU,Germany,Europe,2011,3.75796884489337,3823575803793.78,47630.9761883572,2.07517283735874,,5.967
DEU,Germany,Europe,2012,0.463512036709204,3596483233406.25,44718.0159214069,2.00848884782956,,5.372
DEU,Germany,Europe,2013,0.396995583779145,3807023797050.99,47206.8353514242,1.50472330251876,,5.316
DEU,Germany,Europe,2014,2.18018602168017,3964870735760.77,48959.5991203133,0.906794000434246,,4.979
DEU,Germany,Europe,2015,1.66300602334775,3425099578746.09,41929.7549110722,0.514426137125456,,4.612
DEU,Germany,Europe,2016,2.22222216259371,3536787895179.0,42948.9381932694,0.491747008445174,,4.104
DEU,Germany,Europe,2017,2.797906720551,3765351626105.89,45553.9341495339,1.50949485109628,,3.781
DEU,Germany,Europe,2018,1.13569604599849,4055433215301.96,48916.1686612154,1.73216879766942,,3.384
DEU,Germany,Europe,2019,0.977734697038784,3959894794039.21,47656.199739747,1.44565976888253,,3.163
DEU,Germany,Europe,2020,-4.13191443239947,3941398957073.94,47394.8734504469,0.144877925813982,,3.881
DEU,Germany,Europe,2021,3.90999994204108,4355251953410.78,52349.2459994422,3.06666666666673,,3.594
DEU,Germany,Europe,2022,1.8092581243061,4201021706478.62,50506.5179638543,6.87257438551097,,3.12
DEU,Germany,Europe,2023,-0.869647578573321,4562207532490.28,54776.7668235491,5.94643667725823,,3.068
DEU,Germany,Europe,2024,-0.495851897260366,4685592577804.69,56103.7323182554,2.2564981433876,,3.406
ESP,Spain,Europe,2000,5.20064125553942,598102854756.08,14743.2671031455,3.43351563418767,56.4411355546668,13.785
ESP,Spain,Europe,2001,3.91908880808811,627798682378.741,15368.2337984435,3.58983413338112,51.9977632183383,10.348
ESP,Spain,Europe,2002,2.75545611564098,708938227243.923,17111.0685058941,3.06565685902219,50.1525231278943,11.146
ESP,Spain,Europe,2003,2.9392895953076,907963217057.645,21522.0170990262,3.03888839396655,45.4755013249315,11.283
ESP,Spain,Europe,2004,3.1145314799161,1069829382514.67,24925.0267844576,3.03924881090925,43.4376841356233,11.09
ESP,Spain,Europe,2005,3.5512255846125,1154667551775.88,26450.9530130382,3.36881409750383,40.2343199708659,9.146
ESP,Spain,Europe,2006,4.04343515605099,1261846683275.29,28421.686527407,3.51557576832128,35.7479971661015,8.452
ESP,Spain,Europe,2007,3.53350013165972,1476746276854.51,32652.015594702,2.78679745804946,31.7331273427183,8.232
ESP,Spain,Europe,2008,0.767165748290694,1636115447612.5,35603.248328071,4.07534335957339,35.7047178344384,11.254
ESP,Spain,Europe,2009,-3.76813306940053,1496587590847.66,32279.8208476151,-0.28781308353524,48.1994103859309,17.857
ESP,Spain,Europe,2010,0.0941223116369514,1427989078916.67,30658.7422282912,1.79986457728769,49.9611949458986,19.86
ESP,Spain,Europe,2011,-0.639920636520344,1487568659241.25,31824.6219134777,3.1961018883379,57.789985767622,21.39
ESP,Spain,Europe,2012,-2.86511368637748,1330994811670.31,28456.4438151477,2.44612782366809,77.4461594128753,24.789
ESP,Spain,Europe,2013,-1.42732224757626,1362186923157.65,29228.846559842,1.40858109183019,91.8693310694076,26.094
ESP,Spain,Europe,2014,1.52048593647231,1380244561361.96,29707.765509467,-0.151114837527235,104.927837458817,24.441
ESP,Spain,Europe,2015,4.06086672473866,1206164777553.12,25982.4416197775,-0.500365709903242,104.513601542435,22.057
ESP,Spain,Europe,2016,2.91515598595787,1243015667917.12,26755.6061149398,-0.202598000426452,105.968136997792,19.635
ESP,Spain,Europe,2017,2.89604207865007,1321754088818.83,28381.3425596906,1.95607633363963,106.577780541254,17.224
ESP,Spain,Europe,2018,2.39541124478878,1431642809327.06,30602.4212881113,1.6749813686379,107.203121896334,15.255
ESP,Spain,Europe,2019,1.96117850841711,1403496387686.27,29786.5245689007,0.699518994458739,111.293101275415,14.104
ESP,Spain,Europe,2020,-10.9400706350371,1289783836971.21,27233.9426461608,-0.322753017299739,138.955245507052,15.532
ESP,Spain,Europe,2021,6.68314420473001,1461244901852.69,30799.4775937775,3.0931351197642,132.546759057657,14.781
ESP,Spain,Europe,2022,6.37031712129601,1448850658406.62,30319.4987196616,8.39057634118627,109.040623157974,12.917
ESP,Spain,Europe,2023,2.46085796805582,1619481980719.64,33493.2225409111,3.53236133492433,107.300287362269,12.179
ESP,Spain,Europe,2024,3.45525405630191,1725671652742.19,35326.7683069278,2.77417826534772,,11.394
FRA,France,Europe,2000,4.14099996402915,1360959069477.49,22340.5939516217,1.67595988720927,,10.218
FRA,France,Europe,2001,1.89946701186636,1370376677298.86,22331.7948343036,1.63478079549601,,8.61
FRA,France,Europe,2002,1.06775027069419,1492427756382.43,24144.5727019529,1.9234122872706,,8.702
FRA,France,Europe,2003,0.967827182558352,1835095983049.09,29479.5222101175,2.09847219146923,,8.306
FRA,France,Europe,2004,2.86825052501032,2109792297237.03,33644.9282220364,2.14208964640241,,8.914
FRA,France,Europe,2005,1.88856584109286,2192146403028.17,34696.3718316971,1.74586936380482,,8.882
FRA,France,Europe,2006,2.71406448755236,2317861544690.82,36431.5658906555,1.67512449608723,,8.832
FRA,France,Europe,2007,2.53048188351066,2655816911866.56,41486.1907828787,1.4879980595386,,8.008
FRA,France,Europe,2008,0.380171435849121,2926802941585.86,45464.8181385158,2.81286194914787,,7.386
FRA,France,Europe,2009,-2.82455153714783,2700075882518.98,41728.0884164132,0.0876204781574552,,9.122
FRA,France,Europe,2010,2.00032476039051,2646230027988.34,40694.8211697025,1.53112270420926,,9.279
FRA,France,Europe,2011,2.43757653729007,2870408553990.28,43929.7840873812,2.11159795174994,,9.228
FRA,France,Europe,2012,0.183835264973013,2683007095787.23,40863.5814412333,1.9541953161351,,9.841
FRA,France,Europe,2013,0.781756446231,2816077607875.26,42669.1795111893,0.863715497861805,,9.913
FRA,France,Europe,2014,0.997832947295251,2861236112552.42,43148.0459288416,0.50775882293799,,10.273
FRA,France,Europe,2015,1.06675474783462,2442483452642.5,36702.4323733379,0.0375143805125182,,10.354
FRA,France,Europe,2016,0.860031075424033,2470407619777.13,37024.2157133669,0.18333486112386,,10.057
FRA,France,Europe,2017,2.08361485997399,2588868323334.71,38687.1626407164,1.03228275064662,,9.409
FRA,France,Europe,2018,1.64590872395887,2781576320884.39,41418.1766484844,1.85081508315502,,9.018
FRA,France,Europe,2019,2.02744646419237,2722793515171.76,40408.2848574751,1.10825492288294,,8.415
FRA,France,Europe,2020,-7.44064589948231,2647926055110.05,39169.8606000707,0.476498852725066,,8.009
FRA,France,Europe,2021,6.88233783360239,2966433692008.09,43725.0999521245,1.64233141038385,,7.874
FRA,France,Europe,2022,2.71676264185913,2794788137066.94,40988.6396406579,5.22236748369735,,7.308
FRA,France,Europe,2023,1.43921494437743,3056250648138.29,44700.1384177544,4.87835726508441,,7.335
FRA,France,Europe,2024,1.19046798275883,3160442622465.08,46103.0840855884,1.99904942291463,,7.37
GBR,United Kingdom,Europe,2000,4.52438074810904,1671597821152.97,28383.8761094996,1.18295624210408,87.284376049437,5.558
GBR,United Kingdom,Europe,2001,2.39102229602824,1656171009068.66,28013.8729635508,1.53234960272418,84.04178204707,4.696
GBR,United Kingdom,Europe,2002,1.70902736258567,1790536570743.41,30158.7017807858,1.52040245947455,86.1686223366587,5.037
GBR,United Kingdom,Europe,2003,3.21851612669614,2061227755102.04,34556.7726095905,1.37650038542013,86.4073086616893,4.807
GBR,United Kingdom,Europe,2004,2.32601853325993,2429774807762.72,40504.4118103928,1.39039756680422,90.2045973945536,4.594
GBR,United Kingdom,Europe,2005,2.7906547174688,2551361818181.82,42240.2462987547,2.0891364902507,91.8639528693767,4.835
GBR,United Kingdom,Europe,2006,2.18982132415704,2719558417663.29,44695.161023424,2.4556616643929,91.788062892401,5.411
GBR,United Kingdom,Europe,2007,2.93091133582351,3104699879951.98,50629.0799172887,2.38656150773327,93.3735852072108,5.342
GBR,United Kingdom,Europe,2008,-0.0494116727402769,2945251838235.29,47652.4030691881,3.52140856342539,104.84023075526,5.705
GBR,United Kingdom,Europe,2009,-4.58740819226323,2429358155475.93,39009.3715547821,1.96173173560109,122.887383328898,7.627
GBR,United Kingdom,Europe,2010,2.26054460931586,2496740681057.14,39778.3220528565,2.49265472467065,130.497283454602,7.924
GBR,United Kingdom,Europe,2011,0.851437739020326,2675590034128.66,42295.9273835322,3.8561124468282,143.125971214621,8.169
GBR,United Kingdom,Europe,2012,1.52826034721852,2719715961539.83,42688.3263728372,2.5732347965453,146.371335905972,8.25
GBR,United Kingdom,Europe,2013,1.71846961308464,2796908333283.39,43606.9837896348,2.29166666666659,141.033172505075,7.704
GBR,United Kingdom,Europe,2014,3.16017351468152,3085362169410.29,47746.2421759562,1.45112016293279,149.584281299965,6.363
GBR,United Kingdom,Europe,2015,2.14040560033371,2945579890258.46,45255.3449216209,0.36804684232536,147.063146778865,5.517
GBR,United Kingdom,Europe,2016,2.20652020635357,2706807606538.73,41257.9085545556,1.0084173681141,155.581504971929,4.867
GBR,United Kingdom,Europe,2017,3.02322219840339,2699118387873.1,40916.8115070354,2.55775577557747,160.141177233502,4.452
GBR,United Kingdom,Europe,2018,1.55133095078786,2897028009916.05,43702.9976303165,2.29283990345938,156.766820519267,4.12
GBR,United Kingdom,Europe,2019,1.25629899760824,2875710080015.3,43158.7411267323,1.73810460086513,158.972569875821,3.613
GBR,United Kingdom,Europe,2020,-10.047896637362,2724001478304.59,40812.6794663879,0.989486703772491,194.682828796265,4.472
GBR,United Kingdom,Europe,2021,8.5431118453255,3194559188925.93,47691.3768799404,2.51837109614213,183.804848939919,4.826
GBR,United Kingdom,Europe,2022,5.14970388522993,3181244350465.41,47057.043229179,7.92204883147902,138.215904304967,3.73
GBR,United Kingdom,Europe,2023,0.271650048355255,3420796653789.08,49944.4702124201,6.79396706793963,136.142431919028,3.984
GBR,United Kingdom,Europe,2024,1.1264226705118,3686033044482.13,53246.3676145108,3.2715729463592,131.073062954793,4.111
GHA,Ghana,Afrique,2000,3.70000008164408,4982850662.20851,253.746936203344,40.240933123914,,10.456
GHA,Ghana,Afrique,2001,4.00000012807919,5314872854.4405,263.542156494853,41.509496287803,,9.602
GHA,Ghana,Afrique,2002,4.49999955900331,6166197847.85031,297.46164468774,9.36093239560313,,8.695
GHA,Ghana,Afrique,2003,5.200000133101,7632723555.66221,358.39927142073,29.7729797160384,,7.72
GHA,Ghana,Afrique,2004,5.59999999077445,8881417906.71432,406.132105329565,18.0427388232565,,6.756
GHA,Ghana,Afrique,2005,5.90000381855104,10744568381.4456,478.611909191028,15.4389920155908,,5.816
GHA,Ghana,Afrique,2006,6.39991260618034,20885037596.6963,906.441027564887,11.6791839392492,,4.897
GHA,Ghana,Afrique,2007,4.34681910440079,24827339138.4906,1050.12461524926,10.7342665456292,,5.092
GHA,Ghana,Afrique,2008,9.14979893831817,28679383241.0729,1182.65761256016,16.494639613412,,5.144
GHA,Ghana,Afrique,2009,4.84448705175076,26048720005.5233,1047.70430093586,19.2469482220857,,5.348
GHA,Ghana,Afrique,2010,7.89971194051621,32197655566.5347,1263.89251760539,10.7333898354915,,5.384
GHA,Ghana,Afrique,2011,14.0471235803149,39336668080.559,1507.43573198753,8.7284593709302,,4.227
GHA,Ghana,Afrique,2012,9.2927894063005,41271701060.954,1543.77524235764,11.1863409441067,,3.141
GHA,Ghana,Afrique,2013,7.31252501678145,62845721959.827,2294.79584693743,11.6661923071729,,2.173
GHA,Ghana,Afrique,2014,2.85624016330883,54678533805.9064,1949.90832923846,15.4896160333318,,4.415
GHA,Ghana,Afrique,2015,2.12075933817334,49436806230.4839,1722.77282833606,17.1499695007878,,6.806
GHA,Ghana,Afrique,2016,3.37346574966936,56144179397.8516,1912.47991339951,17.4546347070868,,5.232
GHA,Ghana,Afrique,2017,8.12889488100956,60385409434.8567,2012.28662641265,12.3719215507048,,3.369
GHA,Ghana,Afrique,2018,6.20007768127284,67259353965.6087,2195.32166016377,7.80876516610703,,3.253
GHA,Ghana,Afrique,2019,6.5077747939152,68352629246.1555,2186.65822682613,7.14364003330857,,3.16
GHA,Ghana,Afrique,2020,0.513941670628171,70008243859.8666,2195.45481659987,9.88728956269944,,3.313
GHA,Ghana,Afrique,2021,5.07646643533542,79514204730.3979,2445.18662529344,9.9710886750444,,3.384
